,time,xpos,ypos,zpos,xdot,ydot,zdot,roll,pitch,yaw,ang_roll,ang_pitch,ang_yaw,in_roll,in_pitch,in_yaw,target_xpos,target_ypos,target_zpos,payload_temp,energy,adcs_mode,payload_mode
10019,5009.5,6212145.621106452,-1954048.8904211302,-2018005.4023287285,2991.26237826228,6324.588209194364,3080.0986877511486,,,,,,,,,,,,,,,,
10020,5010.0,6213641.2522955835,-1950886.5963165332,-2016465.3529848529,2987.3555380090565,6325.817117421487,3081.3678184537926,,,,,,,,,,,,,,,,
10021,5010.5,6215134.930064588,-1947723.6877578225,-2014924.669075626,2983.447759992586,6327.0440359776385,3082.6359796908864,,,,,,,,,,,,,,,,
10022,5011.0,6216626.653944585,-1944560.1657398336,-2013383.3510857804,2979.5390454408803,6328.268964479868,3083.903171065366,,,,,,,,,,,,,,,,
10023,5011.5,6218116.423467305,-1941396.0312575938,-2011841.3995002478,2975.629395582244,6329.4919025458485,3085.1693921804717,,,,,,,,,,,,,,,,
10024,5012.0,6219604.238165095,-1938231.2853063208,-2010298.8148041575,2971.7188116452735,6330.712849793874,3086.434642639747,,,,,,,,,,,,,,,,
10025,5012.5,6221090.0975709185,-1935065.9288814238,-2008755.5974828375,2967.807294858857,6331.9318058428635,3087.698922047039,,,,,,,,,,,,,,,,
10026,5013.0,6222574.001218348,-1931899.9629785023,-2007211.748021814,2963.8948464521727,6333.14877031236,3088.9622300065007,,,,,,,,,,,,,,,,
10027,5013.5,6224055.948641574,-1928733.388593346,-2005667.2669068107,2959.981467654691,6334.363742822529,3090.224566122588,,,,,,,,,,,,,,,,
10028,5014.0,6225535.9393754015,-1925566.206721935,-2004122.1546237494,2956.0671596961724,6335.576722994161,3091.485930000062,,,,,,,,,,,,,,,,
10029,5014.5,6227013.972955249,-1922398.418360438,-2002576.4116587494,2952.1519238066667,6336.78771044867,3092.7463212439884,,,,,,,,,,,,,,,,
10030,5015.0,6228490.048917153,-1919230.0245052136,-2001030.0384981274,2948.2357612165133,6337.996704808093,3094.005739459737,,,,,,,,,,,,,,,,
10031,5015.5,6229964.166797761,-1916061.0261528096,-1999483.0356283975,2944.3186731563414,6339.203705695093,3095.2641842529833,,,,,,,,,,,,,,,,
10032,5016.0,6231436.326134339,-1912891.4242999621,-1997935.403536271,2940.4006608570694,6340.408712732956,3096.5216552297074,,,,,,,,,,,,,,,,
10033,5016.5,6232906.526464768,-1909721.2199435956,-1996387.1427086561,2936.481725549903,6341.611725545592,3097.778151996194,,,,,,,,,,,,,,,,
10034,5017.0,6234374.767327542,-1906550.4140808228,-1994838.2536326582,2932.561868466337,6342.812743757537,3099.033674159034,,,,,,,,,,,,,,,,
