,time,xpos,ypos,zpos,xdot,ydot,zdot,roll,pitch,yaw,ang_roll,ang_pitch,ang_yaw,in_roll,in_pitch,in_yaw,target_xpos,target_ypos,target_zpos,payload_temp,energy,adcs_mode,payload_mode
1516,60.64,465263.7743941593,0.0,-400000.0,7672.555646341823,0.0,0.0,1.5538297616129895e-07,-1.05472484857462,-0.10809312758410636,-4.3975255164491145e-07,-0.014376629259146526,-0.003651291184978506,0.0,-1.0640587911150081,-0.11047833067582631,685790.0,-24480.0,0.0,20.010820375449892,22.839999999999307,3.0,4.0
1517,60.68,465570.67662001296,0.0,-400000.0,7672.555646341823,0.0,0.0,1.3828890150526962e-07,-1.0553000615182566,-0.10823927736617293,-3.915428659408813e-07,-0.014391255130691468,-0.003661115195971883,0.0,-1.0646419331527546,-0.11063093689571603,685790.0,-24480.0,0.0,20.010820375449892,22.819999999999304,3.0,4.0
1518,60.72,465877.5788458666,0.0,-400000.0,7672.555646341823,0.0,0.0,1.230690497004735e-07,-1.055875853600644,-0.10838582053026405,-3.4859820533661453e-07,-0.014405307172654855,-0.003670981349012414,0.0,-1.0652254425243195,-0.11078396356708495,685790.0,-24480.0,0.0,20.010820375449892,22.7999999999993,3.0,4.0
1519,60.76,466184.48107172025,0.0,-400000.0,7672.555646341823,0.0,0.0,1.095187086008951e-07,-1.0564522024831275,-0.1085327587614855,-3.103460630921027e-07,-0.014418845208217328,-0.0036808895944018634,0.0,-1.0658093191378895,-0.11093741242273737,685790.0,-24480.0,0.0,20.010820375449892,22.779999999999298,3.0,4.0
1520,60.800000000000004,466491.3832975739,0.0,-400000.0,7672.555646341823,0.0,0.0,9.745542927766882e-08,-1.05702908815649,-0.10868009374326323,-2.7627587642193565e-07,-0.014431922877055093,-0.0036908399124338125,0.0,-1.0663935629002521,-0.11109128520497254,685790.0,-24480.0,0.0,20.010820375449892,22.759999999999295,3.0,4.0
1521,60.84,466798.28552342753,0.0,-400000.0,7672.555646341823,0.0,0.0,8.671661677880443e-08,-1.057606492700062,-0.1088278271585113,-2.459323628135911e-07,-0.014444588263843261,-0.003700832310317873,0.0,-1.0669781737167934,-0.11124558366564942,685790.0,-24480.0,0.0,20.05128412970221,22.73999999999929,3.0,4.0
1522,60.88,467105.1877492812,0.0,-400000.0,7672.555646341823,0.0,0.0,7.715738011660971e-08,-1.0581844000653278,-0.10897596069068038,-2.1890956837466347e-07,-0.014456884464221635,-0.003710866819435718,0.0,-1.0675631514914903,-0.11140030956625216,685790.0,-24480.0,0.0,20.05128412970221,22.71999999999929,3.0,4.0
1523,60.92,467412.0899751348,0.0,-400000.0,7672.555646341823,0.0,0.0,6.864861377730257e-08,-1.0587627958815953,-0.10912449602469941,-1.9484555273465133e-07,-0.01446885009426716,-0.003720943492893476,0.0,-1.0681484961269094,-0.11155546467795595,685790.0,-24480.0,0.0,20.05128412970221,22.699999999999285,3.0,4.0
1524,60.96,467718.99220098846,0.0,-400000.0,7672.555646341823,0.0,0.0,6.107528598488139e-08,-1.0593416672815175,-0.10927343484782216,-1.7341764295010844e-07,-0.01448051974895529,-0.003731062403338902,0.0,-1.068734207524199,-0.11171105078169347,685790.0,-24480.0,0.0,20.05128412970221,22.679999999999282,3.0,4.0
1525,61.0,468025.8944268421,0.0,-400000.0,7672.555646341823,0.0,0.0,5.433491158041174e-08,-1.059921002744483,-0.10942277885038883,-1.5433819596322745e-07,-0.01449192441458367,-0.003741223641015007,0.0,-1.0693202855830866,-0.1118670696682219,685790.0,-24480.0,0.0,20.05128412970221,22.65999999999928,3.0,4.0
